,Date Run,Backtest_id,Ticker,algo,Prediction Window,Lookback Window,Number of Estimators,Max Depth,Annualized Return,Benchmark Annualized Return,Active Annualized Return,Cumulative Returns,Sharpe Ratio,Benchmark Sharpe Ratio,Sortino Ratio,Max Drawdown,Mean Squared Error,Accuracy,Baseline Accuracy,Accuracy Model Improvement,Precision,recall,F1 Score,Baseline F1 Score,F1 Score Model Improvement,Up Market Accuracy,Down Market Accuracy,Top 20% Up Market Accuracy,Bottom 20% Down Market Accuracy
0,2023-11-18,9b51b8e5-f790-48bc-9adf-3597e0fba267,^GSPC,xg,3,256,2,1,0.053161918520335805,0.06249505464506733,-0.009333136124731523,11947.31767305709,0.46053313853176003,0.4190513770217709,0.6388902911885049,-0.4260866888510652,2.0307731850607795,0.5345778532032245,0.5345778532032245,0.0,0.5582426679280984,0.7295981452859351,0.6325204341417661,0.7088468912626678,-0.07632645712090169,0.7295981452859351,0.2971777986829727,0.632183908045977,0.6423781850692892
0,2023-11-18,4f4b47b5-45bb-4da3-bb86-c9f49375a90c,^GSPC,xg,3,256,2,1,0.07280040407592647,0.06249505464506733,0.010305349430859145,66446.00464260511,0.4630130922479248,0.4190513770217709,0.6513632223132682,-0.6839435298984109,2.0307731850607795,0.5345778532032245,0.5490029698769623,0.0,0.5582426679280984,0.7295981452859351,0.6325204341417661,0.7088468912626678,-0.07632645712090169,0.7295981452859351,0.2971777986829727,0.632183908045977,0.6423781850692892
0,2023-11-18,f2b68b0d-550e-4982-9cef-9217dbb01b0b,^GSPC,xg,3,256,2,1,0.07280040407592647,0.06249505464506733,0.010305349430859145,66446.00464260511,0.4630130922479248,0.4190513770217709,0.6513632223132682,-0.6839435298984109,2.0307731850607795,0.5345778532032245,0.5490029698769623,-0.014425116673737803,0.5582426679280984,0.7295981452859351,0.6325204341417661,0.7088468912626678,-0.07632645712090169,0.7295981452859351,0.2971777986829727,0.632183908045977,0.6423781850692892
0,2023-11-18,85e38f09-b785-4c14-a3a4-178ad2509438,^GSPC,xg,3,512,2,1,0.0752351353197993,0.07513784543720536,9.728988259394278e-05,70725.04959046317,0.47509300349155453,0.503178526257796,0.660212848529598,-0.6166691082755752,2.0169183860920463,0.5318263704212062,0.5496697263446856,-0.01784335592347941,0.5521462290042815,0.784939523995318,0.6482776399316855,0.7094024191093028,-0.06112477917761727,0.784939523995318,0.2228783693685113,0.7362860625761886,0.751131221719457
0,2023-11-18,f4e49f25-b271-4c5b-a265-c5b76fceec6d,^GSPC,xg,3,768,2,1,0.0771773311596895,0.07377446382922392,0.0034028673304655754,71596.1454050818,0.4928227079720806,0.5110100343052633,0.6826031646246684,-0.661360112339251,1.973085674411753,0.5346951166623298,0.5512186659727644,-0.016523549310434538,0.5531469657133659,0.8110936270653029,0.6577343924458481,0.7106911205546858,-0.05295672810883767,0.8110936270653029,0.19520680324700426,0.7939469320066335,0.8113994439295644
0,2023-11-18,a6fcf11e-cc62-4f4a-ab17-0572f03fe404,^GSPC,xg,3,1280,2,1,0.07827931200930238,0.07402304364387735,0.004256268365425031,57678.47714326668,0.5033219360787966,0.5306685221792733,0.6974826765105993,-0.6768206554636647,1.814952416942112,0.5368579792424377,0.5524261509802182,-0.015568171737780467,0.5522667082100016,0.8538739462063428,0.6707240161453077,0.7116939516013828,-0.04096993545607508,0.8538739462063428,0.1455752650877019,0.8413161182840483,0.8594339622641509
0,2023-11-19,fa2f0db0-48c2-4fb7-a532-ce21559a0762,^GSPC,xg,3,1920,2,1,0.08472552848060944,0.07711267655043308,0.007612851930176356,63109.28779105604,0.5259840193200154,0.5512178516793785,0.7307408917213409,-0.6401182788457089,1.7928644425893925,0.5445083538756506,0.5520861864329407,-0.007577832557290165,0.5519697416249141,0.9291384157433438,0.6925305065943548,0.7114117647058823,-0.01888125811152752,0.9291384157433438,0.0704239706481859,0.8944467994913099,0.9076923076923077
0,2023-11-19,14d97e88-3c52-4825-97d7-10ff33864034,^GSPC,xg,3,2560,2,1,0.09035467336200731,0.07980782354014115,0.010546849821866155,61306.69597461847,0.5503282384666213,0.5670221445343419,0.7692858947891495,-0.6538237809645361,1.725193401800468,0.5489513777861375,0.5538418132229851,-0.00489043543684764,0.5545028423257206,0.9441331295635932,0.698668007036944,0.7128676915627647,-0.014199684525820766,0.9441331295635932,0.058389544688026984,0.9397802197802197,0.9433117851815017
0,2023-11-19,c00ae35f-5c06-4945-a503-a980177668e2,^GSPC,xg,3,3840,2,1,0.08250265915933053,0.07031099898590631,0.012191660173424212,15951.05352947848,0.4953332990711781,0.4985882342926753,0.6941583201653,-0.6632067353476205,1.7071043617980588,0.5527869508656059,0.5560392274592214,-0.0032522765936154885,0.5552058480125894,0.9841626923423018,0.7099182136829807,0.7146853596578667,-0.004767145974886033,0.9841626923423018,0.012509861377211766,0.9744525547445255,0.9761163032191069
0,2023-11-19,56c3a3b7-1cac-43a0-aa9e-535c2e4279a7,^GSPC,xg,3,256,2,2,0.07454697305557256,0.06249505464506733,0.012051918410505236,77252.41613249062,0.4714228248628393,0.4190513770217709,0.6679425868901062,-0.6921640902974429,2.0338193986832347,0.5341111582520153,0.5490029698769623,-0.014891811624947016,0.558705424033563,0.7204018547140649,0.6293333333333334,0.7088468912626678,-0.07951355792933434,0.7204018547140649,0.30733772342427096,0.6286167261196988,0.6405900759946357
